route_id,direction_id,direction,agency_id,agency_name
74,0,North,AC,AC Transit
74,1,South,AC,AC Transit
801,0,South,AC,AC Transit
801,1,North,AC,AC Transit
90,0,East,AC,AC Transit
90,1,West,AC,AC Transit
97,0,North,AC,AC Transit
97,1,South,AC,AC Transit
BSD,0,South,AC,AC Transit
BSD,1,North,AC,AC Transit
G,0,West,AC,AC Transit
G,1,East,AC,AC Transit
C,0,East,AC,AC Transit
C,1,West,AC,AC Transit
73,0,West,AC,AC Transit
73,1,East,AC,AC Transit
684,0,West,AC,AC Transit
684,1,East,AC,AC Transit
657,0,West,AC,AC Transit
657,1,East,AC,AC Transit
658,0,South,AC,AC Transit
658,1,North,AC,AC Transit
669,0,West,AC,AC Transit
669,1,East,AC,AC Transit
677,0,West,AC,AC Transit
677,1,East,AC,AC Transit
672,0,West,AC,AC Transit
672,1,East,AC,AC Transit
12,0,North,AC,AC Transit
12,1,South,AC,AC Transit
660,0,West,AC,AC Transit
660,1,East,AC,AC Transit
663,0,South,AC,AC Transit
663,1,North,AC,AC Transit
667,0,East,AC,AC Transit
667,1,West,AC,AC Transit
668,0,West,AC,AC Transit
668,1,East,AC,AC Transit
680,0,West,AC,AC Transit
680,1,East,AC,AC Transit
681,0,West,AC,AC Transit
681,1,East,AC,AC Transit
682,0,West,AC,AC Transit
682,1,East,AC,AC Transit
655,0,East,AC,AC Transit
655,1,West,AC,AC Transit
671,0,East,AC,AC Transit
671,1,West,AC,AC Transit
675,0,West,AC,AC Transit
675,1,East,AC,AC Transit
676,0,East,AC,AC Transit
676,1,West,AC,AC Transit
679,0,East,AC,AC Transit
679,1,West,AC,AC Transit
687,0,East,AC,AC Transit
687,1,West,AC,AC Transit
662,0,West,AC,AC Transit
662,1,East,AC,AC Transit
696,0,West,AC,AC Transit
696,1,East,AC,AC Transit
70,0,North,AC,AC Transit
70,1,South,AC,AC Transit
72R,0,South,AC,AC Transit
72R,1,North,AC,AC Transit
76,0,West,AC,AC Transit
76,1,East,AC,AC Transit
688,0,South,AC,AC Transit
688,1,North,AC,AC Transit
29,0,East,AC,AC Transit
29,1,West,AC,AC Transit
33,0,West,AC,AC Transit
33,1,East,AC,AC Transit
36,0,North,AC,AC Transit
36,1,South,AC,AC Transit
96,0,West,AC,AC Transit
96,1,East,AC,AC Transit
79,0,North,AC,AC Transit
79,1,South,AC,AC Transit
80,0,North,AC,AC Transit
80,1,South,AC,AC Transit
28,0,North,AC,AC Transit
28,1,South,AC,AC Transit
CC,0,East,AM,Capitol Corridor Joint Powers Authority
CC,1,West,AM,Capitol Corridor Joint Powers Authority
SF,0,East,AM,Capitol Corridor Joint Powers Authority
SF,1,West,AM,Capitol Corridor Joint Powers Authority
1,0,West,BA,Bay Area Rapid Transit
1,1,East,BA,Bay Area Rapid Transit
3,0,North,BA,Bay Area Rapid Transit
3,1,South,BA,Bay Area Rapid Transit
5,0,West,BA,Bay Area Rapid Transit
5,1,East,BA,Bay Area Rapid Transit
7,0,West,BA,Bay Area Rapid Transit
7,1,East,BA,Bay Area Rapid Transit
19,0,East,BA,Bay Area Rapid Transit
19,1,West,BA,Bay Area Rapid Transit
9,0,West,BA,Bay Area Rapid Transit
9,1,East,BA,Bay Area Rapid Transit
11,0,West,BA,Bay Area Rapid Transit
11,1,East,BA,Bay Area Rapid Transit
13,0,South,BA,Bay Area Rapid Transit
13,1,North,BA,Bay Area Rapid Transit
2,0,Inbound,CC,County Connection
2,1,Outbound,CC,County Connection
24,0,Inbound,CC,County Connection
24,1,Outbound,CC,County Connection
4,0,Inbound,CC,County Connection
4,1,Outbound,CC,County Connection
5,0,Inbound,CC,County Connection
5,1,Outbound,CC,County Connection
