route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,agency_name
88,AC,88,Berkeley Bart\ Dtn.Oakland,,3,,,,AC Transit
93,AC,93,Castro Valley\ Hayward \ Bayfair Bart,,3,,,,AC Transit
95,AC,95,Kelly Hill\ Hayward Bart,,3,,,,AC Transit
L,AC,L,San Francisco - El Sobrante,,3,,,,AC Transit
NL,AC,NL,San Francisco\ Eastmont T.C.,,3,,,,AC Transit
NX2,AC,NX2,San Francisco\ East Oakland,,3,,,,AC Transit
NXC,AC,NXC,San Francisco\ Oakland (NX Sweeper),,3,,,,AC Transit
O,AC,O,San Francisco\ Alameda\ Fruitvale Bart,,3,,,,AC Transit
U,AC,U,Frmt. BART- Stanford University,,3,,,,AC Transit
52,AC,52,U.C. Village - U.C. Campus,,3,,,,AC Transit
Z,AC,Z,San Francisco - Albany,,3,,,,AC Transit
LA,AC,LA,San Francisco - El Sobrante,,3,,,,AC Transit
S,AC,S,San Francisco - San Lorenzo- Hayward,,3,,,,AC Transit
216,AC,216,U.C. BART-Niles-Fremont BART-Ohlone Newark,,3,,,,AC Transit
200,AC,200,Union City BART-Newpark Mall-Fremont BART,,3,,,,AC Transit
20,AC,20,Fruitvale Ave\ Alameda\ 11th M.L.K. Jr Wy,,3,,,,AC Transit
67,AC,67,Berkeley Bart - Grizzly Peak Blvd.,,3,,,,AC Transit
BSN,AC,BSN,BROADWAY SHUTTLE NIGHT,,3,,,,AC Transit
217,AC,217,Frmt BART - Mission - Milpitas - Alder,,3,,,,AC Transit
46L,AC,46L,Coliseum Bart\ Golf Links Rd\ Dunkirk Ave,,3,,,,AC Transit
71,AC,71,Richmond Pkwy TC - El Cerrito Plaza BART,,3,,,,AC Transit
212,AC,212,Fremont BART-Newpark Mall-Pacific Commons,,3,,,,AC Transit
701,AC,701,Bay Point Bart\ Salesforce Transit Center,,3,,,,AC Transit
605,AC,605,Berkeley - Oakland - H.Royce School,,3,,,,AC Transit
703,AC,703,Dublin\ Pleasanton Bart\ Salesforce Transit Center,,3,,,,AC Transit
702,AC,702,Pleasant Hill\ Salesforce Transit Center,,3,,,,AC Transit
604,AC,604,Berkeley - Oakland - H.Royce School,,3,,,,AC Transit
621,AC,621,Fremont - American H.S.,,3,,,,AC Transit
617,AC,617,Seminary Ave/ Skyline H.S.,,3,,,,AC Transit
625,AC,625,Centerville JHS - Niles & El Portal,,3,,,,AC Transit
624,AC,624,Paseo Padre - Mission S.J. High School,,3,,,,AC Transit
620,AC,620,Cedar Blvd-Newark Memorial H.S.,,3,,,,AC Transit
626,AC,626,Newark Blvd.,,3,,,,AC Transit
623,AC,623,Horner JH - P. Padre Pkwy & Mission,,3,,,,AC Transit
628,AC,628,Cedar Blvd.,,3,,,,AC Transit
706,AC,706,BayFair Bart\ Salesforce Transit Center,,3,,,,AC Transit
707,AC,707,Fremont Bart\ Salesforce Transit Center,,3,,,,AC Transit
232,AC,232,Fremont BART-U.C. BART-Mission-Ohlone Newark,,3,,,,AC Transit
606,AC,606,Berkeley - Oakland - H.Royce School,,3,,,,AC Transit
607,AC,607,Richmond H.S. - Point Richmond,,3,,,,AC Transit
611,AC,611,Diamond Dist./ Westlake M.S./ Piedmont,,3,,,,AC Transit
56,AC,56,Hayward Bart\ Union Landing,,3,,,,AC Transit
6,AC,6,Dtn. Oakland\ Dtn. Berkeley,,3,,,,AC Transit
638,AC,638,73rd International Blvd - Skyline High,,3,,,,AC Transit
629,AC,629,Cherry St.,,3,,,,AC Transit
631,AC,631,Alameda/ Encinal H.S.,,3,,,,AC Transit
642,AC,642,Montera M.S./ Snake Rd.,,3,,,,AC Transit
646,AC,646,Montera/ Skyline High/ Coliseum Bart,,3,,,,AC Transit
648,AC,648,Skyline H.S./ Fruitvale Bart,,3,,,,AC Transit
649,AC,649,Skyline H.S./ Grass Valley,,3,,,,AC Transit
650,AC,650,Skyline H.S./ Montera Middle School,,3,,,,AC Transit
652,AC,652,Skyline H.S./ Sequoyah Rd/ 90th. & Inter Blvd,,3,,,,AC Transit
710,AC,710,Fremont Bart\ BayFair Bart\20th&Broadway,,3,,,,AC Transit
72,AC,72,Richmond - Downtown Oakland,,3,,,,AC Transit
34,AC,34,Hayward Bart \ Foothill Sq.,,3,,,,AC Transit
35,AC,35,Bayfair Bart\ Foothill Sq.,,3,,,,AC Transit
41,AC,41,Bayfair Bart\ Union Landing,,3,,,,AC Transit
J,AC,J,Berkeley - San Francisco,,3,,,,AC Transit
94,AC,94,Hayward Bart\ Hayward Hills,,3,,,,AC Transit
805,AC,805,OWL\ Dtn. Oakland\ Oakland  Airport,,3,,,,AC Transit
M,AC,M,Hayward BART- Hillsdale Mall- Oracle,,3,,,,AC Transit
NX1,AC,NX1,San Francisco\ East Oakland,,3,,,,AC Transit
NX3,AC,NX3,San Francisco\ San Leandro,,3,,,,AC Transit
86,AC,86,Hayward Bart\ S. Hayward Bart,,3,,,,AC Transit
NX4,AC,NX4,San Francisco\ Castro Valley,,3,,,,AC Transit
OX,AC,OX,San Francisco\ Alameda\ Bay Farm Is.,,3,,,,AC Transit
P,AC,P,San Francisco - Piedmont,,3,,,,AC Transit
SB,AC,SB,San Francisco - Hayward - Newark,,3,,,,AC Transit
10,AC,10,San Leandro Bart\ Hayward Bart,,3,,,,AC Transit
654,AC,654,Skyline H.S./ 35th Ave/ Fruitvale Bart,,3,,,,AC Transit
V,AC,V,San Francisco\ Montclair,,3,,,,AC Transit
E,AC,E,San Francisco - Claremont -Parkwood,,3,,,,AC Transit
653,AC,653,MacArthur-Bdway/ Montera,,3,,,,AC Transit
74,AC,74,CCC/Richmond BART/Ford Pt.,,3,,,,AC Transit
801,AC,801,OWL-DTN.OAKLAND/FREMONT BART,,3,,,,AC Transit
90,AC,90,Coliseum Bart\ 85thAve\ Foothill Sq,,3,,,,AC Transit
97,AC,97,Bayfair\ Hesperian Blvd\ Union City Bart,,3,,,,AC Transit
BSD,AC,BSD,BROADWAY SHUTTLE DAY,,3,,,,AC Transit
G,AC,G,San Francisco - El Cerrito,,3,,,,AC Transit
C,AC,C,San Francisco - Piedmont,,3,,,,AC Transit
73,AC,73,Eastmont T.C.\ Oakland Airport,,3,,,,AC Transit
684,AC,684,Rich. BART /El Cerrito HS,,3,,,,AC Transit
657,AC,657,Oakland Tech. H.S./ Macarthur Blvd/ Coliseum Bart,,3,,,,AC Transit
658,AC,658,Skyline H.S./ Macarthur Blvd/ Coolidge Ave,,3,,,,AC Transit
669,AC,669,CCC - DeAnza HS/Crespi MS,,3,,,,AC Transit
677,AC,677,Montera M.S./ Skyline Rd.,,3,,,,AC Transit
672,AC,672,N.Richmond - San Pablo - El Sobrante,,3,,,,AC Transit
12,AC,12,Dtn. Oakland\ Dtn. Berkeley\ Gilman St.,,3,,,,AC Transit
660,AC,660,40th & Broadway/Montera,,3,,,,AC Transit
663,AC,663,Encinal H.S. / Island H.S. / Broadway Blanding,,3,,,,AC Transit
667,AC,667,N.Richmond - Rich. BART - El Cerrito,,3,,,,AC Transit
